,Athlete,Year,Time,Meet,Meet Date,Wind
0, Antonio Laidler,3,10.19,NCAA East Preliminary Round,1684972800,1.9
1, Antonio Laidler,3,10.20,Jim Freeman Louisville Invitational,1681430400,1.6
2, Christopher Grant,3,10.28,Jim Freeman Louisville Invitational,1681430400,1.6
3, Antonio Laidler,3,10.30,Big Ten Outdoor Championships,1683849600,+0.0
4, Christopher Grant,3,10.33,2023 Billy Hayes Invitational,1683244800,0.5
5, Christopher Grant,3,10.38,Pepsi Florida Relays,1680220800,1.1
6, Antonio Laidler,3,10.38,Big Ten Outdoor Championships,1683849600,-0.4
7, Christopher Grant,3,10.41,2023 Billy Hayes Invitational,1683244800,1.9
8, Antonio Laidler,3,10.41,Pepsi Florida Relays,1680220800,1.5
9, Christopher Grant,3,10.48,Big Ten Outdoor Championships,1683849600,0.1
10, Antonio Laidler,3,10.52,Penn Relays,1682553600,-1.3
11, Trelee Banks,2,10.59,2023 Billy Hayes Invitational,1683244800,2.0
12, Trelee Banks,2,10.64,2023 Indiana Invitational,1682035200,1.0
13, Trelee Banks,2,10.67,2023 Indiana Invitational,1682035200,1.2
14, Trelee Banks,2,10.68,Big Ten Outdoor Championships,1683849600,0.7
15, Trelee Banks,2,10.71,2023 Billy Hayes Invitational,1683244800,0.5
16, Trelee Banks,2,10.73,Jim Freeman Louisville Invitational,1681430400,1.6
17, Antonio Laidler,3,10.74,Penn Relays,1682553600,-1.2
18, Trelee Banks,2,10.88,Pepsi Florida Relays,1680220800,0.1
19, Ray Brodie,1,11.00,Raleigh Relays,1679529600,-1.3
20, Gage Pratt,1,11.01,2023 Billy Hayes Invitational,1683244800,1.9
21, Trelee Banks,2,11.03,Raleigh Relays,1679529600,1.9
